sys.exec.out.time {s},rt.dcs.servo[0].tl_trq_cmd {N.m},rt.dcs.mot_pos_msr[0] {cm},rt.sdts_data.dcs_to_simhost.hold {--}
63.319,0,90.00023533,0
63.32,0,90.00022007,0
63.321,0,90.00021053,0
63.322,0,90.00021244,0
63.323,0,90.00023533,0
63.324,0,90.00027062,0
63.325,0,90.00029351,0
63.326,0,90.00029446,0
63.327,0,90.00029351,0
63.328,0,90.0002916,0
63.329,0,90.0002916,0
63.33,0,90.00028969,0
63.331,0,90.00029065,0
63.332,0,90.00028969,0
63.333,0,90.00029256,0
63.334,0,90.00029351,0
63.335,0,90.00029256,0
63.336,0,90.0002916,0
63.337,0,90.00028969,0
63.338,0,90.00028969,0
63.339,0,90.0002916,0
63.34,0,90.00029351,0
63.341,0,90.00029542,0
63.342,0,90.00029542,0
63.343,0,90.0002916,0
63.344,0,90.00028779,0
63.345,0,90.00028683,0
63.346,0,90.00028874,0
63.347,0,90.00029256,0
63.348,0,90.00029542,0
63.349,0,90.00029732,0
63.35,0,90.00029542,0
63.351,0,90.0002916,0
63.352,0,90.00028874,0
63.353,0,90.00028779,0
63.354,0,90.00028969,0
63.355,0,90.00029256,0
63.356,0,90.00029446,0
63.357,0,90.00029446,0
63.358,0,90.00029351,0
63.359,0,90.00029256,0
63.36,0,90.0002916,0
63.361,0,90.0002916,0
63.362,0,90.00029256,0
63.363,0,90.00029256,0
63.364,0,90.00029256,0
63.365,0,90.00029256,0
63.366,0,90.0002916,0
63.367,0,90.00029256,0
63.368,0,90.00029351,0
63.369,0,90.00029351,0
63.37,0,90.00029351,0
63.371,0,90.00029351,0
63.372,0,90.00029256,0
63.373,0,90.00029256,0
63.374,0,90.0002916,0
63.375,0,90.0002916,0
63.376,0,90.0002916,0
63.377,0,90.00029256,0
63.378,0,90.00029446,0
63.379,0,90.00029542,0
63.38,0,90.00029542,0
63.381,0,90.00029446,0
63.382,0,90.00029256,0
63.383,0,90.00028969,0
63.384,0,90.00028874,0
63.385,0,90.00029065,0
63.386,0,90.00029351,0
63.387,0,90.00029637,0
63.388,0,90.00029732,0
63.389,0,90.00029542,0
63.39,0,90.0002916,0
63.391,0,90.00028969,0
63.392,0,90.00028969,0
63.393,0,90.0002916,0
63.394,0,90.00029446,0
63.395,0,90.00029637,0
63.396,0,90.00029542,0
63.397,0,90.00029256,0
63.398,0,90.00028969,0
63.399,0,90.00028969,0
63.4,0,90.00029256,0
63.401,0,90.00029637,0
63.402,0,90.00029732,0
63.403,0,90.00029542,0
63.404,0,90.0002916,0
63.405,0,90.00028874,0
63.406,0,90.00028874,0
63.407,0,90.0002916,0
63.408,0,90.00029542,0
63.409,0,90.00029828,0
63.41,0,90.00029828,0
63.411,0,90.00029446,0
63.412,0,90.00028969,0
63.413,0,90.00028779,0
63.414,0,90.00028874,0
63.415,0,90.00029351,0
63.416,0,90.00029732,0
63.417,0,90.00029828,0
63.418,0,90.00029637,0
63.419,0,90.00029256,0
63.42,0,90.00028969,0
63.421,0,90.00028969,0
63.422,0,90.0002916,0
63.423,0,90.00029542,0
63.424,0,90.00029732,0
63.425,0,90.00029637,0
63.426,0,90.00029351,0
63.427,0,90.00029065,0
63.428,0,90.00028969,0
63.429,0,90.0002916,0
63.43,0,90.00029542,0
63.431,0,90.00029732,0
63.432,0,90.00029637,0
63.433,0,90.00029351,0
63.434,0,90.00029065,0
63.435,0,90.00028874,0
63.436,0,90.00029065,0
63.437,0,90.00029446,0
63.438,0,90.00029732,0
63.439,0,90.00029828,0
63.44,0,90.00029637,0
63.441,0,90.00029256,0
63.442,0,90.00028969,0
63.443,0,90.00028874,0
63.444,0,90.0002916,0
63.445,0,90.00029542,0
63.446,0,90.00029732,0
63.447,0,90.00029732,0
63.448,0,90.00029446,0
63.449,0,90.0002916,0
63.45,0,90.00028969,0
63.451,0,90.0002916,0
63.452,0,90.00029446,0
63.453,0,90.00029637,0
63.454,0,90.00029637,0
63.455,0,90.00029446,0
63.456,0,90.0002916,0
63.457,0,90.00029065,0
63.458,0,90.0002916,0
63.459,0,90.00029446,0
63.46,0,90.00029637,0
63.461,0,90.00029732,0
63.462,0,90.00029542,0
63.463,0,90.0002916,0
63.464,0,90.00028969,0
63.465,0,90.00029065,0
63.466,0,90.00029256,0
63.467,0,90.00029637,0
63.468,0,90.00029732,0
63.469,0,90.00029637,0
63.47,0,90.00029351,0
63.471,0,90.00029065,0
63.472,0,90.00029065,0
63.473,0,90.00029256,0
63.474,0,90.00029542,0
63.475,0,90.00029637,0
63.476,0,90.00029542,0
63.477,0,90.00029351,0
63.478,0,90.0002916,0
63.479,0,90.0002916,0
63.48,0,90.00029256,0
63.481,0,90.00029542,0
63.482,0,90.00029637,0
63.483,0,90.00029542,0
63.484,0,90.00029351,0
63.485,0,90.0002916,0
63.486,0,90.0002916,0
63.487,0,90.00029256,0
63.488,0,90.00029542,0
63.489,0,90.00029637,0
63.49,0,90.00029637,0
63.491,0,90.00029446,0
63.492,0,90.0002916,0
63.493,0,90.0002916,0
63.494,0,90.00029256,0
63.495,0,90.00029446,0
63.496,0,90.00029542,0
63.497,0,90.00029637,0
63.498,0,90.00029446,0
63.499,0,90.00029256,0
63.5,0,90.0002916,0
63.501,0,90.00029256,0
63.502,0,90.00029446,0
63.503,0,90.00029542,0
63.504,0,90.00029542,0
63.505,0,90.00029446,0
63.506,0,90.00029256,0
63.507,0,90.00029256,0
63.508,0,90.00029256,0
63.509,0,90.00029446,0
63.51,0,90.00029542,0
63.511,0,90.00029542,0
63.512,0,90.00029446,0
63.513,0,90.00029351,0
63.514,0,90.00029256,0
63.515,0,90.00029256,0
63.516,0,90.00029351,0
63.517,0,90.00029446,0
63.518,0,90.00029542,0
63.519,0,90.00029542,0
63.52,0,90.00029446,0
63.521,0,90.00029351,0
63.522,0,90.00029256,0
63.523,0,90.00029351,0
63.524,0,90.00029446,0
63.525,0,90.00029446,0
63.526,0,90.00029446,0
63.527,0,90.00029446,0
63.528,0,90.00029351,0
63.529,0,90.00029351,0
63.53,0,90.00029351,0
63.531,0,90.00029446,0
63.532,0,90.00029446,0
63.533,0,90.00029446,0
63.534,0,90.00029446,0
63.535,0,90.00029351,0
63.536,0,90.00029351,0
63.537,0,90.00029351,0
63.538,0,90.00029351,0
63.539,0,90.00029446,0
63.54,0,90.00029446,0
63.541,0,90.00029446,0
63.542,0,90.00029446,0
63.543,0,90.00029351,0
63.544,0,90.00029351,0
63.545,0,90.00029351,0
63.546,0,90.00029351,0
63.547,0,90.00029446,0
63.548,0,90.00029446,0
63.549,0,90.00029446,0
63.55,0,90.00029446,0
63.551,0,90.00029351,0
63.552,0,90.00029351,0
63.553,0,90.00029446,0
63.554,0,90.00029446,0
63.555,0,90.00029446,0
63.556,0,90.00029446,0
63.557,0,90.00029446,0
63.558,0,90.00029351,0
63.559,0,90.00029351,0
63.56,0,90.00029446,0
63.561,0,90.00029446,0
63.562,0,90.00029446,0
63.563,0,90.00029446,0
63.564,0,90.00029446,0
63.565,0,90.00029351,0
63.566,0,90.00029351,0
63.567,0,90.00029351,0
63.568,0,90.00029446,0
63.569,0,90.00029446,0
63.57,0,90.00029446,0
63.571,0,90.00029446,0
63.572,0,90.00029446,0
63.573,0,90.00029446,0
63.574,0,90.00029351,0
63.575,0,90.00029351,0
63.576,0,90.00029446,0
63.577,0,90.00029446,0
63.578,0,90.00029446,0
63.579,0,90.00029446,0
63.58,0,90.00029446,0
63.581,0,90.00029446,0
63.582,0,90.00029446,0
63.583,0,90.00029446,0
63.584,0,90.00029446,0
63.585,0,90.00029351,0
63.586,0,90.00029351,0
63.587,0,90.00029446,0
63.588,0,90.00029446,0
63.589,0,90.00029446,0
63.59,0,90.00029446,0
63.591,0,90.00029446,0
63.592,0,90.00029446,0
63.593,0,90.00029446,0
63.594,0,90.00029446,0
63.595,0,90.00029446,0
63.596,0,90.00029446,0
63.597,0,90.00029446,0
63.598,0,90.00029446,0
63.599,0,90.00029446,0
63.6,0,90.00029446,0
63.601,0,90.00029446,0
63.602,0,90.00029446,0
63.603,0,90.00029446,0
63.604,0,90.00029446,0
63.605,0,90.00029446,0
63.606,0,90.00029351,0
63.607,0,90.00029351,0
63.608,0,90.00029446,0
63.609,0,90.00029446,0
63.61,0,90.00029446,0
63.611,0,90.00029446,0
63.612,0,90.00029446,0
63.613,0,90.00029446,0
63.614,0,90.00029446,0
63.615,0,90.00029351,0
63.616,0,90.00029446,0
63.617,0,90.00029446,0
63.618,0,90.00029446,0
63.619,0,90.00029446,0
63.62,0,90.00029446,0
63.621,0,90.00029446,0
63.622,0,90.00029446,0
63.623,0,90.00029446,0
63.624,0,90.00029446,0
63.625,0,90.00029446,0
63.626,0,90.00029446,0
63.627,0,90.00029446,0
63.628,0,90.00029446,0
63.629,0,90.00029446,0
63.63,0,90.00029446,0
63.631,0,90.00029446,0
63.632,0,90.00029446,0
63.633,0,90.00029446,0
63.634,0,90.00029446,0
63.635,0,90.00029351,0
63.636,0,90.00029446,0
63.637,0,90.00029446,0
63.638,0,90.00029446,0
63.639,0,90.00029446,0
63.64,0,90.00029446,0
63.641,0,90.00029446,0
63.642,0,90.00029446,0
63.643,0,90.00029446,0
63.644,0,90.00029446,0
63.645,0,90.00029446,0
63.646,0,90.00029446,0
63.647,0,90.00029446,0
63.648,0,90.00029446,0
63.649,0,90.00029446,0
63.65,0,90.00029446,0
63.651,0,90.00029446,0
63.652,0,90.00029446,0
63.653,0,90.00029446,0
63.654,0,90.00029446,0
63.655,0,90.00029446,0
63.656,0,90.00029446,0
63.657,0,90.00029446,0
63.658,0,90.00029446,0
63.659,0,90.00029446,0
63.66,0,90.00029446,0
63.661,0,90.00029446,0
63.662,0,90.00029446,0
63.663,0,90.00029446,0
63.664,0,90.00029446,0
63.665,0,90.00029446,0
63.666,0,90.00029446,0
63.667,0,90.00029446,0
63.668,0,90.00029446,0
63.669,0,90.00029446,0
63.67,0,90.00029446,0
63.671,0,90.00029446,0
63.672,0,90.00029446,0
63.673,0,90.00029446,0
63.674,0,90.00029446,0
63.675,0,90.00029446,0
63.676,0,90.00029446,0
63.677,0,90.00029446,0
63.678,0,90.00029446,0
63.679,0,90.00029446,0
63.68,0,90.00029446,0
63.681,0,90.00029446,0
63.682,0,90.00029446,0
63.683,0,90.00029446,0
63.684,0,90.00029446,0
63.685,0,90.00029446,0
63.686,0,90.00029446,0
63.687,0,90.00029446,0
63.688,0,90.00029446,0
63.689,0,90.00029542,0
63.69,0,90.00029446,0
63.691,0,90.00029446,0
63.692,0,90.00029446,0
63.693,0,90.00029446,0
63.694,0,90.00029446,0
63.695,0,90.00029446,0
63.696,0,90.00029446,0
63.697,0,90.00029446,0
63.698,0,90.00029446,0
63.699,0,90.00029446,0
63.7,0,90.00029446,0
63.701,0,90.00029446,0
63.702,0,90.00029446,0
63.703,0,90.00029446,0
63.704,0,90.00029446,0
63.705,0,90.00029446,0
63.706,0,90.00029446,0
63.707,0,90.00029446,0
63.708,0,90.00029446,0
63.709,0,90.00029446,0
63.71,0,90.00029446,0
63.711,0,90.00029446,0
63.712,0,90.00029446,0
63.713,0,90.00029446,0
63.714,0,90.00029446,0
63.715,0,90.00029446,0
63.716,0,90.00029446,0
63.717,0,90.00029446,0
63.718,0,90.00029446,0
63.719,0,90.00029446,0
63.72,0,90.00029446,0
63.721,0,90.00029446,0
63.722,0,90.00029446,0
63.723,0,90.00029446,0
63.724,0,90.00029446,0
63.725,0,90.00029446,0
63.726,0,90.00029446,0
63.727,0,90.00029446,0
63.728,0,90.00029446,0
63.729,0,90.00029446,0
63.73,0,90.00029446,0
63.731,0,90.00029446,0
63.732,0,90.00029446,0
63.733,0,90.00029446,0
63.734,0,90.00029446,0
63.735,0,90.00029446,0
63.736,0,90.00029446,0
63.737,0,90.00029446,0
63.738,0,90.00029446,0
63.739,0,90.00029446,0
63.74,0,90.00029446,0
63.741,0,90.00029446,0
63.742,0,90.00029446,0
63.743,0,90.00029446,0
63.744,0,90.00029446,0
63.745,0,90.00029446,0
63.746,0,90.00029446,0
63.747,0,90.00029446,0
63.748,0,90.00029446,0
63.749,0,90.00029446,0
63.75,0,90.00029446,0
63.751,0,90.00029446,0
63.752,0,90.00029446,0
63.753,0,90.00029446,0
63.754,0,90.00029446,0
63.755,0,90.00029446,0
63.756,0,90.00029446,0
63.757,0,90.00029446,0
63.758,0,90.00029446,0
63.759,0,90.00029446,0
63.76,0,90.00029446,0
63.761,0,90.00029446,0
63.762,0,90.00029446,0
63.763,0,90.00029446,0
63.764,0,90.00029446,0
63.765,0,90.00029446,0
63.766,0,90.00029446,0
63.767,0,90.00029446,0
63.768,0,90.00029446,0
63.769,0,90.00029446,0
63.77,0,90.00029446,0
63.771,0,90.00029446,0
63.772,0,90.00029446,0
63.773,0,90.00029446,0
63.774,0,90.00029446,0
63.775,0,90.00029446,0
63.776,0,90.00029446,0
63.777,0,90.00029446,0
63.778,0,90.00029542,0
63.779,0,90.00029446,0
63.78,0,90.00029446,0
63.781,0,90.00029446,0
63.782,0,90.00029446,0
63.783,0,90.00029446,0
63.784,0,90.00029446,0
63.785,0,90.00029446,0
63.786,0,90.00029446,0
63.787,0,90.00029446,0
63.788,0,90.00029446,0
63.789,0,90.00029446,0
63.79,0,90.00029542,0
63.791,0,90.00029542,0
63.792,0,90.00029446,0
63.793,0,90.00029446,0
63.794,0,90.00029446,0
63.795,0,90.00029446,0
63.796,0,90.00029446,0
63.797,0,90.00029446,0
63.798,0,90.00029446,0
63.799,0,90.00029446,0
63.8,0,90.00029446,0
63.801,0,90.00029446,0
63.802,0,90.00029446,0
63.803,0,90.00029446,0
63.804,0,90.00029446,0
