sys.exec.out.time {s},rt.dcs.servo[0].tl_trq_cmd {N.m},rt.dcs.mot_pos_msr[0] {cm},rt.sdts_data.dcs_to_simhost.hold {--}
65.819,0,90.00016666,0
65.82,0,90.00015045,0
65.821,0,90.00016571,0
65.822,0,90.00020767,0
65.823,0,90.00023724,0
65.824,0,90.00025154,0
65.825,0,90.00024868,0
65.826,0,90.0002525,0
65.827,0,90.00025536,0
65.828,0,90.0002525,0
65.829,0,90.00025345,0
65.83,0,90.00025631,0
65.831,0,90.0002525,0
65.832,0,90.00024678,0
65.833,0,90.00024487,0
65.834,0,90.00024582,0
65.835,0,90.0002525,0
65.836,0,90.00025727,0
65.837,0,90.00025631,0
65.838,0,90.00025631,0
65.839,0,90.0002525,0
65.84,0,90.00024868,0
65.841,0,90.00024391,0
65.842,0,90.00024868,0
65.843,0,90.00025345,0
65.844,0,90.00025631,0
65.845,0,90.00025822,0
65.846,0,90.00025631,0
65.847,0,90.00024964,0
65.848,0,90.00024678,0
65.849,0,90.00024582,0
65.85,0,90.00024964,0
65.851,0,90.00025631,0
65.852,0,90.00025917,0
65.853,0,90.00025727,0
65.854,0,90.00025154,0
65.855,0,90.00024487,0
65.856,0,90.00024391,0
65.857,0,90.00024868,0
65.858,0,90.00025631,0
65.859,0,90.00026204,0
65.86,0,90.00026204,0
65.861,0,90.00025536,0
65.862,0,90.00024582,0
65.863,0,90.0002401,0
65.864,0,90.00024296,0
65.865,0,90.00025154,0
65.866,0,90.00026108,0
65.867,0,90.00026585,0
65.868,0,90.00026204,0
65.869,0,90.0002525,0
65.87,0,90.00024296,0
65.871,0,90.0002401,0
65.872,0,90.00024582,0
65.873,0,90.00025631,0
65.874,0,90.0002649,0
65.875,0,90.00026394,0
65.876,0,90.00025631,0
65.877,0,90.00024678,0
65.878,0,90.00024201,0
65.879,0,90.00024582,0
65.88,0,90.00025441,0
65.881,0,90.00026299,0
65.882,0,90.00026394,0
65.883,0,90.00025631,0
65.884,0,90.00024773,0
65.885,0,90.00024201,0
65.886,0,90.00024487,0
65.887,0,90.00025441,0
65.888,0,90.00026299,0
65.889,0,90.00026585,0
65.89,0,90.00025917,0
65.891,0,90.00024868,0
65.892,0,90.00024201,0
65.893,0,90.00024296,0
65.894,0,90.00025059,0
65.895,0,90.00026108,0
65.896,0,90.0002649,0
65.897,0,90.00026204,0
65.898,0,90.00025345,0
65.899,0,90.00024487,0
65.9,0,90.00024296,0
65.901,0,90.00024868,0
65.902,0,90.00025727,0
65.903,0,90.00026299,0
65.904,0,90.00026108,0
65.905,0,90.00025441,0
65.906,0,90.00024678,0
65.907,0,90.00024487,0
65.908,0,90.00024964,0
65.909,0,90.00025727,0
65.91,0,90.00026204,0
65.911,0,90.00026108,0
65.912,0,90.00025536,0
65.913,0,90.00024773,0
65.914,0,90.00024487,0
65.915,0,90.00024773,0
65.916,0,90.00025536,0
65.917,0,90.00026204,0
65.918,0,90.00026299,0
65.919,0,90.00025727,0
65.92,0,90.00025059,0
65.921,0,90.00024582,0
65.922,0,90.00024582,0
65.923,0,90.0002525,0
65.924,0,90.00025917,0
65.925,0,90.00026204,0
65.926,0,90.00026013,0
65.927,0,90.00025345,0
65.928,0,90.00024773,0
65.929,0,90.00024678,0
65.93,0,90.00025059,0
65.931,0,90.00025631,0
65.932,0,90.00026013,0
65.933,0,90.00025917,0
65.934,0,90.00025536,0
65.935,0,90.00025059,0
65.936,0,90.00024773,0
65.937,0,90.00024964,0
65.938,0,90.00025441,0
65.939,0,90.00025917,0
65.94,0,90.00026013,0
65.941,0,90.00025727,0
65.942,0,90.00025154,0
65.943,0,90.00024773,0
65.944,0,90.00024773,0
65.945,0,90.0002525,0
65.946,0,90.00025822,0
65.947,0,90.00026108,0
65.948,0,90.00025917,0
65.949,0,90.00025441,0
65.95,0,90.00024964,0
65.951,0,90.00024773,0
65.952,0,90.00024964,0
65.953,0,90.00025536,0
65.954,0,90.00025917,0
65.955,0,90.00026013,0
65.956,0,90.00025631,0
65.957,0,90.00025154,0
65.958,0,90.00024868,0
65.959,0,90.00024964,0
65.96,0,90.00025345,0
65.961,0,90.00025822,0
65.962,0,90.00026013,0
65.963,0,90.00025727,0
65.964,0,90.0002525,0
65.965,0,90.00024868,0
65.966,0,90.00024964,0
65.967,0,90.0002525,0
65.968,0,90.00025727,0
65.969,0,90.00026013,0
65.97,0,90.00025822,0
65.971,0,90.00025441,0
65.972,0,90.00024964,0
65.973,0,90.00024868,0
65.974,0,90.00025154,0
65.975,0,90.00025631,0
65.976,0,90.00025917,0
65.977,0,90.00025917,0
65.978,0,90.00025536,0
65.979,0,90.00025154,0
65.98,0,90.00024964,0
65.981,0,90.00025154,0
65.982,0,90.00025536,0
65.983,0,90.00025822,0
65.984,0,90.00025822,0
65.985,0,90.00025536,0
65.986,0,90.0002525,0
65.987,0,90.00025059,0
65.988,0,90.00025154,0
65.989,0,90.00025441,0
65.99,0,90.00025727,0
65.991,0,90.00025727,0
65.992,0,90.00025536,0
65.993,0,90.0002525,0
65.994,0,90.00025059,0
65.995,0,90.00025154,0
65.996,0,90.00025441,0
