sys.exec.out.time {s},rt.dcs.servo[0].tl_trq_cmd {N.m},rt.dcs.mot_pos_msr[0] {cm},rt.sdts_data.dcs_to_simhost.hold {--}
52.007,-2.897942402,90.00016952,0
52.008,-2.642341668,90.00017429,0
52.009,-2.361848475,90.00016666,0
52.01,-2.159966813,90.00015236,0
52.011,-2.294061825,90.00013996,0
52.012,-2.534259754,90.0001371,0
52.013,-2.803284295,90.00014663,0
52.014,-2.965109125,90.00016189,0
52.015,-2.802592837,90.00017238,0
52.016,-2.492676948,90.00017238,0
52.017,-2.259465121,90.00016094,0
52.018,-2.177205557,90.00014663,0
52.019,-2.331638948,90.0001371,0
52.02,-2.663705312,90.00013996,0
52.021,-2.902258049,90.00015331,0
52.022,-2.899587594,90.00016666,0
52.023,-2.702069265,90.00017429,0
52.024,-2.410989624,90.00016952,0
52.025,-2.159752223,90.00015522,0
52.026,-2.169742588,90.00014187,0
52.027,-2.474532157,90.0001371,0
52.028,-2.736427536,90.00014473,0
52.029,-2.96692122,90.00015903,0
52.03,-2.870737138,90.00017143,0
52.031,-2.582971722,90.00017429,0
52.032,-2.286765759,90.00016475,0
52.033,-2.242607871,90.00014949,0
52.034,-2.305697381,90.00013805,0
52.035,-2.585212997,90.00013805,0
52.036,-2.794486098,90.00014854,0
52.037,-2.920021346,90.00016285,0
52.038,-2.778630269,90.00017238,0
52.039,-2.462133614,90.00017048,0
52.04,-2.26664197,90.00015903,0
52.041,-2.184191659,90.00014568,0
52.042,-2.403169004,90.0001371,0
52.043,-2.718044311,90.00014187,0
52.044,-2.871667028,90.00015522,0
52.045,-2.831252547,90.00016857,0
52.046,-2.666304237,90.00017429,0
52.047,-2.317332937,90.00016666,0
52.048,-2.242226378,90.00015236,0
52.049,-2.274915613,90.00013996,0
52.05,-2.510297185,90.0001371,0
52.051,-2.830465716,90.00014663,0
52.052,-2.957240819,90.00016094,0
52.053,-2.788835223,90.00017238,0
52.054,-2.504670154,90.00017238,0
52.055,-2.254267271,90.00016189,0
52.056,-2.136957979,90.00014663,0
52.057,-2.319669585,90.0001371,0
52.058,-2.63652389,90.000139,0
52.059,-2.90354559,90.0001514,0
52.06,-2.911771546,90.00016571,0
52.061,-2.722479175,90.00017334,0
52.062,-2.416354378,90.00016952,0
52.063,-2.23662319,90.00015712,0
52.064,-2.191368508,90.00014282,0
52.065,-2.438767129,90.0001371,0
52.066,-2.748778392,90.00014377,0
52.067,-2.906144515,90.00015712,0
52.068,-2.84465251,90.00016952,0
52.069,-2.615160247,90.00017334,0
52.07,-2.32987454,90.00016475,0
52.071,-2.140486795,90.00015045,0
52.072,-2.294777126,90.000139,0
52.073,-2.561441175,90.00013805,0
52.074,-2.808434459,90.00014854,0
52.075,-2.907503586,90.00016285,0
52.076,-2.805978593,90.00017334,0
52.077,-2.489291192,90.00017143,0
52.078,-2.252312116,90.00015999,0
52.079,-2.213352079,90.00014473,0
52.08,-2.355434613,90.0001371,0
52.081,-2.702665349,90.00014091,0
52.082,-2.906716756,90.00015426,0
52.083,-2.844867101,90.00016762,0
52.084,-2.650949118,90.00017334,0
52.085,-2.383832046,90.00016857,0
52.086,-2.138126303,90.00015426,0
52.087,-2.277943719,90.00014091,0
52.088,-2.498494726,90.0001371,0
52.089,-2.765373365,90.00014568,0
52.09,-2.963869271,90.00015999,0
52.091,-2.846774569,90.00017143,0
52.092,-2.552237641,90.00017238,0
52.093,-2.322912281,90.00016285,0
52.094,-2.153386048,90.00014854,0
52.095,-2.299092772,90.00013805,0
52.096,-2.636356987,90.000139,0
52.097,-2.879583021,90.00015045,0
52.098,-2.930560108,90.00016475,0
52.099,-2.722479175,90.00017334,0
52.1,-2.458747858,90.00016952,0
52.101,-2.211945321,90.00015712,0
52.102,-2.201740366,90.00014377,0
52.103,-2.391199641,90.0001371,0
52.104,-2.689050795,90.00014282,0
52.105,-2.913845918,90.00015617,0
52.106,-2.841433658,90.00016952,0
52.107,-2.630539209,90.00017429,0
52.108,-2.386001791,90.00016666,0
52.109,-2.109705027,90.00015236,0
52.11,-2.258296797,90.00013996,0
52.111,-2.525676147,90.00013805,0
52.112,-2.775029922,90.00014663,0
52.113,-2.960817322,90.00016189,0
52.114,-2.814395297,90.00017238,0
52.115,-2.552237641,90.00017238,0
52.116,-2.263566178,90.00016189,0
52.117,-2.183643262,90.00014663,0
52.118,-2.331638948,90.0001371,0
52.119,-2.651712106,90.00013996,0
52.12,-2.883159524,90.0001514,0
52.121,-2.918209251,90.00016571,0
52.122,-2.722646078,90.00017334,0
52.123,-2.422792083,90.00016952,0
52.124,-2.218192279,90.00015712,0
52.125,-2.199952115,90.00014282,0
52.126,-2.438934032,90.0001371,0
52.127,-2.712822617,90.00014377,0
52.128,-2.912057667,90.00015712,0
52.129,-2.86592078,90.00017048,0
52.13,-2.603190884,90.00017334,0
52.131,-2.367237073,90.00016571,0
52.132,-2.155508106,90.00015045,0
52.133,-2.231115376,90.000139,0
52.134,-2.53764551,90.00013805,0
52.135,-2.774839176,90.00014759,0
52.136,-2.94131346,90.00016285,0
52.137,-2.817971799,90.00017334,0
52.138,-2.492510044,90.00017238,0
52.139,-2.236027106,90.00016094,0
52.14,-2.192393772,90.00014663,0
52.141,-2.343441407,90.0001371,0
52.142,-2.663514565,90.00013996,0
52.143,-2.878486227,90.00015236,0
52.144,-2.900302894,90.00016666,0
52.145,-2.68688105,90.00017334,0
52.146,-2.407436964,90.00016857,0
52.147,-2.180138289,90.00015522,0
52.148,-2.232879784,90.00014187,0
52.149,-2.462729697,90.0001371,0
52.15,-2.725340377,90.00014473,0
52.151,-2.942958651,90.00015903,0
52.152,-2.894532803,90.00017143,0
52.153,-2.555623397,90.00017334,0
52.154,-2.356340661,90.0001638,0
52.155,-2.158393152,90.00014949,0
52.156,-2.254911041,90.000139,0
52.157,-2.600591959,90.000139,0
52.158,-2.827389924,90.00014949,0
52.159,-2.879058467,90.0001638,0
52.16,-2.758411106,90.00017334,0
52.161,-2.438171045,90.00017048,0
52.162,-2.238387598,90.00015903,0
52.163,-2.19778237,90.00014473,0
