sys.exec.out.time {s},rt.dcs.servo[0].tl_trq_cmd {N.m},rt.dcs.mot_pos_msr[0] {cm},rt.sdts_data.dcs_to_simhost.hold {--}
59.1,0,89.99945041,0
59.101,0,89.99945804,0
59.102,0,89.99945422,0
59.103,0,89.99944373,0
59.104,0,89.99943419,0
59.105,0,89.99943038,0
59.106,0,89.99943324,0
59.107,0,89.99944087,0
59.108,0,89.9994485,0
59.109,0,89.99945041,0
59.11,0,89.99944659,0
59.111,0,89.99943992,0
59.112,0,89.99943515,0
59.113,0,89.99943515,0
59.114,0,89.99943896,0
59.115,0,89.99944469,0
59.116,0,89.99944755,0
59.117,0,89.99944755,0
59.118,0,89.99944278,0
59.119,0,89.99943801,0
59.12,0,89.99943515,0
59.121,0,89.99943801,0
59.122,0,89.99944182,0
59.123,0,89.99944659,0
59.124,0,89.99944755,0
59.125,0,89.99944469,0
59.126,0,89.99943992,0
59.127,0,89.99943706,0
59.128,0,89.99943706,0
59.129,0,89.99943992,0
59.13,0,89.99944469,0
59.131,0,89.99944659,0
59.132,0,89.99944564,0
59.133,0,89.99944182,0
59.134,0,89.99943801,0
59.135,0,89.99943706,0
59.136,0,89.99943896,0
59.137,0,89.99944278,0
59.138,0,89.99944564,0
59.139,0,89.99944659,0
59.14,0,89.99944373,0
59.141,0,89.99943992,0
59.142,0,89.99943706,0
59.143,0,89.99943801,0
59.144,0,89.99944087,0
59.145,0,89.99944469,0
59.146,0,89.99944659,0
59.147,0,89.99944564,0
59.148,0,89.99944182,0
59.149,0,89.99943801,0
59.15,0,89.9994361,0
59.151,0,89.99943801,0
59.152,0,89.99944182,0
59.153,0,89.99944564,0
59.154,0,89.99944659,0
59.155,0,89.99944469,0
59.156,0,89.99944087,0
59.157,0,89.99943801,0
59.158,0,89.99943706,0
59.159,0,89.99943896,0
59.16,0,89.99944278,0
59.161,0,89.99944564,0
59.162,0,89.99944564,0
59.163,0,89.99944373,0
59.164,0,89.99944087,0
59.165,0,89.99943801,0
59.166,0,89.99943801,0
59.167,0,89.99943992,0
59.168,0,89.99944278,0
59.169,0,89.99944564,0
59.17,0,89.99944469,0
59.171,0,89.99944278,0
59.172,0,89.99943992,0
59.173,0,89.99943801,0
59.174,0,89.99943801,0
59.175,0,89.99944087,0
59.176,0,89.99944373,0
59.177,0,89.99944564,0
59.178,0,89.99944469,0
59.179,0,89.99944278,0
59.18,0,89.99943992,0
59.181,0,89.99943801,0
59.182,0,89.99943801,0
59.183,0,89.99944087,0
59.184,0,89.99944469,0
59.185,0,89.99944659,0
59.186,0,89.99944564,0
59.187,0,89.99944182,0
59.188,0,89.99943801,0
59.189,0,89.99943706,0
59.19,0,89.99943801,0
59.191,0,89.99944182,0
59.192,0,89.99944564,0
59.193,0,89.99944659,0
59.194,0,89.99944469,0
59.195,0,89.99944087,0
59.196,0,89.99943706,0
59.197,0,89.99943706,0
59.198,0,89.99943896,0
59.199,0,89.99944278,0
59.2,0,89.99944659,0
59.201,0,89.99944659,0
59.202,0,89.99944373,0
59.203,0,89.99943992,0
59.204,0,89.99943706,0
59.205,0,89.99943801,0
59.206,0,89.99944087,0
59.207,0,89.99944469,0
59.208,0,89.99944659,0
59.209,0,89.99944564,0
59.21,0,89.99944182,0
59.211,0,89.99943801,0
59.212,0,89.99943706,0
59.213,0,89.99943896,0
59.214,0,89.99944278,0
59.215,0,89.99944564,0
59.216,0,89.99944659,0
59.217,0,89.99944373,0
59.218,0,89.99943992,0
59.219,0,89.99943706,0
59.22,0,89.99943706,0
59.221,0,89.99943992,0
59.222,0,89.99944373,0
59.223,0,89.99944564,0
59.224,0,89.99944564,0
59.225,0,89.99944278,0
59.226,0,89.99943896,0
59.227,0,89.99943706,0
59.228,0,89.99943801,0
59.229,0,89.99944182,0
59.23,0,89.99944469,0
59.231,0,89.99944564,0
59.232,0,89.99944469,0
59.233,0,89.99944087,0
59.234,0,89.99943801,0
59.235,0,89.99943801,0
59.236,0,89.99943992,0
59.237,0,89.99944278,0
59.238,0,89.99944469,0
59.239,0,89.99944469,0
59.24,0,89.99944278,0
59.241,0,89.99943992,0
59.242,0,89.99943801,0
59.243,0,89.99943896,0
59.244,0,89.99944087,0
59.245,0,89.99944373,0
59.246,0,89.99944469,0
59.247,0,89.99944373,0
59.248,0,89.99944182,0
59.249,0,89.99943896,0
59.25,0,89.99943896,0
59.251,0,89.99943992,0
59.252,0,89.99944278,0
59.253,0,89.99944469,0
59.254,0,89.99944469,0
59.255,0,89.99944278,0
59.256,0,89.99944087,0
59.257,0,89.99943896,0
59.258,0,89.99943992,0
59.259,0,89.99944087,0
59.26,0,89.99944278,0
59.261,0,89.99944373,0
59.262,0,89.99944373,0
59.263,0,89.99944182,0
59.264,0,89.99943992,0
59.265,0,89.99943992,0
59.266,0,89.99944087,0
59.267,0,89.99944278,0
59.268,0,89.99944373,0
59.269,0,89.99944278,0
59.27,0,89.99944182,0
59.271,0,89.99944087,0
59.272,0,89.99943992,0
59.273,0,89.99944087,0
59.274,0,89.99944182,0
59.275,0,89.99944278,0
59.276,0,89.99944278,0
59.277,0,89.99944182,0
59.278,0,89.99944087,0
59.279,0,89.99944087,0
59.28,0,89.99944087,0
59.281,0,89.99944182,0
59.282,0,89.99944278,0
59.283,0,89.99944278,0
59.284,0,89.99944278,0
59.285,0,89.99944182,0
59.286,0,89.99944087,0
59.287,0,89.99944087,0
59.288,0,89.99944182,0
59.289,0,89.99944182,0
59.29,0,89.99944182,0
59.291,0,89.99944182,0
59.292,0,89.99944182,0
59.293,0,89.99944182,0
59.294,0,89.99944087,0
59.295,0,89.99944182,0
59.296,0,89.99944182,0
59.297,0,89.99944182,0
59.298,0,89.99944182,0
59.299,0,89.99944182,0
59.3,0,89.99944182,0
59.301,0,89.99944182,0
59.302,0,89.99944182,0
59.303,0,89.99944182,0
59.304,0,89.99944182,0
59.305,0,89.99944182,0
59.306,0,89.99944182,0
59.307,0,89.99944182,0
59.308,0,89.99944182,0
59.309,0,89.99944182,0
59.31,0,89.99944182,0
59.311,0,89.99944182,0
59.312,0,89.99944182,0
59.313,0,89.99944182,0
59.314,0,89.99944182,0
59.315,0,89.99944182,0
59.316,0,89.99944182,0
59.317,0,89.99944182,0
59.318,0,89.99944182,0
59.319,0,89.99944182,0
59.32,0,89.99944182,0
59.321,0,89.99944182,0
59.322,0,89.99944182,0
59.323,0,89.99944182,0
59.324,0,89.99944182,0
59.325,0,89.99944182,0
59.326,0,89.99944182,0
59.327,0,89.99944182,0
59.328,0,89.99944182,0
59.329,0,89.99944182,0
59.33,0,89.99944182,0
59.331,0,89.99944182,0
59.332,0,89.99944182,0
59.333,0,89.99944182,0
59.334,0,89.99944182,0
59.335,0,89.99944182,0
59.336,0,89.99944182,0
59.337,0,89.99944182,0
59.338,0,89.99944182,0
59.339,0,89.99944182,0
59.34,0,89.99944182,0
59.341,0,89.99944182,0
59.342,0,89.99944182,0
59.343,0,89.99944182,0
59.344,0,89.99944182,0
59.345,0,89.99944182,0
59.346,0,89.99944182,0
59.347,0,89.99944182,0
59.348,0,89.99944182,0
59.349,0,89.99944182,0
59.35,0,89.99944182,0
59.351,0,89.99944182,0
59.352,0,89.99944182,0
59.353,0,89.99944182,0
59.354,0,89.99944182,0
59.355,0,89.99944182,0
59.356,0,89.99944182,0
59.357,0,89.99944182,0
59.358,0,89.99944182,0
59.359,0,89.99944182,0
59.36,0,89.99944182,0
59.361,0,89.99944182,0
59.362,0,89.99944182,0
59.363,0,89.99944182,0
59.364,0,89.99944182,0
59.365,0,89.99944182,0
59.366,0,89.99944182,0
59.367,0,89.99944182,0
59.368,0,89.99944182,0
59.369,0,89.99944182,0
59.37,0,89.99944182,0
59.371,0,89.99944087,0
59.372,0,89.99944182,0
59.373,0,89.99944182,0
59.374,0,89.99944182,0
59.375,0,89.99944182,0
59.376,0,89.99944182,0
59.377,0,89.99944182,0
59.378,0,89.99944182,0
59.379,0,89.99944087,0
59.38,0,89.99944182,0
59.381,0,89.99944182,0
59.382,0,89.99944182,0
59.383,0,89.99944182,0
59.384,0,89.99944182,0
59.385,0,89.99944182,0
59.386,0,89.99944182,0
59.387,0,89.99944182,0
59.388,0,89.99944182,0
59.389,0,89.99944182,0
59.39,0,89.99944182,0
59.391,0,89.99944182,0
59.392,0,89.99944182,0
59.393,0,89.99944182,0
59.394,0,89.99944182,0
59.395,0,89.99944182,0
59.396,0,89.99944182,0
59.397,0,89.99944182,0
59.398,0,89.99944182,0
59.399,0,89.99944182,0
59.4,0,89.99944182,0
59.401,0,89.99944182,0
59.402,0,89.99944182,0
59.403,0,89.99944182,0
59.404,0,89.99944182,0
59.405,0,89.99944182,0
59.406,0,89.99944182,0
59.407,0,89.99944182,0
59.408,0,89.99944182,0
59.409,0,89.99944182,0
59.41,0,89.99944182,0
59.411,0,89.99944182,0
59.412,0,89.99944182,0
59.413,0,89.99944182,0
59.414,0,89.99944182,0
59.415,0,89.99944182,0
59.416,0,89.99944182,0
59.417,0,89.99944182,0
59.418,0,89.99944182,0
59.419,0,89.99944182,0
59.42,0,89.99944182,0
59.421,0,89.99944182,0
59.422,0,89.99944182,0
59.423,0,89.99944182,0
59.424,0,89.99944182,0
59.425,0,89.99944182,0
59.426,0,89.99944182,0
59.427,0,89.99944182,0
59.428,0,89.99944182,0
59.429,0,89.99944182,0
59.43,0,89.99944182,0
59.431,0,89.99944182,0
59.432,0,89.99944182,0
59.433,0,89.99944182,0
59.434,0,89.99944182,0
59.435,0,89.99944182,0
59.436,0,89.99944182,0
59.437,0,89.99944182,0
59.438,0,89.99944182,0
59.439,0,89.99944182,0
59.44,0,89.99944182,0
59.441,0,89.99944182,0
59.442,0,89.99944182,0
59.443,0,89.99944182,0
59.444,0,89.99944182,0
59.445,0,89.99944182,0
59.446,0,89.99944182,0
59.447,0,89.99944182,0
59.448,0,89.99944182,0
59.449,0,89.99944182,0
59.45,0,89.99944182,0
59.451,0,89.99944182,0
59.452,0,89.99944182,0
59.453,0,89.99944182,0
59.454,0,89.99944182,0
59.455,0,89.99944182,0
59.456,0,89.99944182,0
59.457,0,89.99944182,0
59.458,0,89.99944182,0
59.459,0,89.99944182,0
59.46,0,89.99944182,0
59.461,0,89.99944182,0
59.462,0,89.99944182,0
59.463,0,89.99944182,0
59.464,0,89.99944182,0
59.465,0,89.99944182,0
59.466,0,89.99944182,0
59.467,0,89.99944182,0
59.468,0,89.99944182,0
59.469,0,89.99944182,0
59.47,0,89.99944182,0
59.471,0,89.99944182,0
59.472,0,89.99944182,0
