sys.exec.out.time {s},rt.dcs.servo[0].tl_trq_cmd {N.m},rt.dcs.mot_pos_msr[0] {cm},rt.sdts_data.dcs_to_simhost.hold {--}
45.942,-3.092957178,90.00022007,0
45.943,-3.011269854,90.00023152,0
45.944,-2.819879268,90.00023438,0
45.945,-2.539052267,90.00022579,0
45.946,-2.488242084,90.00021244,0
45.947,-2.529491083,90.0002029,0
45.948,-2.82743761,90.0002029,0
45.949,-3.045651968,90.0002134,0
45.95,-3.117182024,90.00022675,0
45.951,-2.951136921,90.00023438,0
45.952,-2.654859428,90.00023152,0
45.953,-2.469548896,90.00022007,0
45.954,-2.459534688,90.00020672,0
45.955,-2.657196077,90.00020195,0
45.956,-2.949157922,90.00020767,0
45.957,-3.127291605,90.00022007,0
45.958,-3.048465484,90.00023152,0
45.959,-2.83184863,90.00023438,0
45.96,-2.598756021,90.00022675,0
45.961,-2.445490954,90.0002134,0
45.962,-2.505528514,90.0002029,0
45.963,-2.791672582,90.0002029,0
45.964,-3.003997632,90.00021244,0
45.965,-3.066419528,90.00022484,0
45.966,-2.947751165,90.00023342,0
45.967,-2.654859428,90.00023152,0
45.968,-2.499043123,90.00022103,0
45.969,-2.467379151,90.00020863,0
45.97,-2.633400411,90.00020195,0
45.971,-2.948275718,90.00020672,0
45.972,-3.111554993,90.00021912,0
45.973,-3.031846667,90.00023056,0
45.974,-2.843841836,90.00023438,0
45.975,-2.53402132,90.0002277,0
45.976,-2.462300517,90.00021435,0
45.977,-2.481756692,90.0002029,0
45.978,-2.788286826,90.00020195,0
45.979,-2.999705829,90.00021149,0
45.98,-3.093243299,90.00022484,0
45.981,-2.986901949,90.00023438,0
45.982,-2.717972781,90.00023247,0
45.983,-2.485619315,90.00022198,0
45.984,-2.509200391,90.00020958,0
45.985,-2.633233508,90.00020195,0
45.986,-2.909291838,90.00020577,0
45.987,-3.007144955,90.00021721,0
45.988,-3.089261459,90.00022961,0
45.989,-2.855644296,90.00023438,0
45.99,-2.581755711,90.0002277,0
45.991,-2.485881592,90.0002153,0
45.992,-2.512300026,90.00020481,0
45.993,-2.779870123,90.0002029,0
45.994,-2.987188069,90.00021149,0
45.995,-3.094506996,90.00022484,0
45.996,-3.007311858,90.00023342,0
45.997,-2.705979575,90.00023247,0
45.998,-2.494560572,90.00022198,0
45.999,-2.448066036,90.00020863,0
46,-2.59746848,90.00020195,0
46.001,-2.909124934,90.00020577,0
46.002,-3.044698234,90.00021816,0
46.003,-3.033086522,90.00023056,0
46.004,-2.871023258,90.00023533,0
46.005,-2.573172104,90.00022865,0
46.006,-2.420264687,90.0002153,0
46.007,-2.500497567,90.00020481,0
46.008,-2.743914348,90.0002029,0
46.009,-3.021355592,90.00021053,0
46.01,-3.107024756,90.00022389,0
46.011,-3.019281221,90.00023342,0
46.012,-2.72116779,90.00023342,0
46.013,-2.47434141,90.00022293,0
46.014,-2.44930589,90.00020958,0
46.015,-2.597635383,90.00020195,0
46.016,-2.881943513,90.00020481,0
46.017,-3.053830238,90.00021626,0
46.018,-3.063510639,90.00022865,0
46.019,-2.915371892,90.00023438,0
46.02,-2.649160867,90.00022865,0
46.021,-2.425247948,90.00021721,0
46.022,-2.522147331,90.00020481,0
46.023,-2.728726133,90.00020195,0
46.024,-2.957884589,90.00020958,0
46.025,-3.095413044,90.00022293,0
46.026,-3.027888671,90.00023247,0
46.027,-2.768926024,90.00023342,0
46.028,-2.484713268,90.00022389,0
46.029,-2.410846563,90.00021053,0
46.03,-2.597635383,90.00020195,0
46.031,-2.854785935,90.00020386,0
46.032,-3.074955448,90.0002153,0
46.033,-3.075146195,90.00022865,0
46.034,-2.930750855,90.00023533,0
46.035,-2.603906185,90.00023056,0
46.036,-2.429515908,90.00021816,0
46.037,-2.515876529,90.00020577,0
46.038,-2.728726133,90.00020195,0
46.039,-3.002781621,90.00020863,0
46.04,-3.126910112,90.00022198,0
46.041,-3.010006157,90.00023247,0
46.042,-2.756932818,90.00023342,0
46.043,-2.547468971,90.00022484,0
46.044,-2.424246527,90.00021149,0
46.045,-2.561870355,90.00020195,0
46.046,-2.866588394,90.00020386,0
46.047,-3.06529889,90.0002153,0
46.048,-3.055308526,90.0002277,0
46.049,-2.927174352,90.00023438,0
46.05,-2.615708644,90.00023056,0
46.051,-2.471360991,90.00021816,0
46.052,-2.500855217,90.00020577,0
46.053,-2.716923673,90.00020195,0
46.054,-2.942696374,90.00020863,0
46.055,-3.140858473,90.00022198,0
46.056,-3.03969113,90.00023247,0
46.057,-2.756932818,90.00023342,0
46.058,-2.500068387,90.00022484,0
46.059,-2.420836928,90.00021149,0
46.06,-2.577249317,90.0002029,0
46.061,-2.842792729,90.00020386,0
46.062,-3.055451586,90.0002153,0
46.063,-3.093744009,90.0002277,0
46.064,-2.927365099,90.00023438,0
46.065,-2.627678007,90.00023056,0
46.066,-2.481375199,90.00021816,0
46.067,-2.444346473,90.00020577,0
46.068,-2.680967899,90.00020195,0
46.069,-2.960221238,90.00020863,0
46.07,-3.120472407,90.00022103,0
46.071,-3.016276958,90.00023152,0
46.072,-2.808076808,90.00023438,0
46.073,-2.569977095,90.00022579,0
46.074,-2.448376,90.00021149,0
46.075,-2.538098533,90.00020195,0
46.076,-2.815635151,90.0002029,0
46.077,-3.022929254,90.0002134,0
