sys.exec.out.time {s},rt.dcs.servo[0].tl_trq_cmd {N.m},rt.dcs.mot_pos_msr[0] {cm},rt.sdts_data.dcs_to_simhost.hold {--}
43.509,-2.347733211,90.00022389,0
43.51,-2.489720372,90.00020958,0
43.511,-2.808601362,90.00020767,0
43.512,-3.08222767,90.00021912,0
43.513,-3.180557654,90.00023533,0
43.514,-3.078675011,90.00024678,0
43.515,-2.68688105,90.00024391,0
43.516,-2.343536781,90.00022961,0
43.517,-2.426344742,90.00021435,0
43.518,-2.650329191,90.00020672,0
43.519,-3.029366959,90.00021435,0
43.52,-3.212984613,90.00023056,0
43.521,-3.114988436,90.00024487,0
43.522,-2.816326608,90.00024678,0
43.523,-2.502977276,90.00023628,0
43.524,-2.300761807,90.00021912,0
43.525,-2.5344505,90.00020767,0
43.526,-2.934637321,90.00020958,0
43.527,-3.241143611,90.00022389,0
43.528,-3.269731791,90.0002401,0
43.529,-2.989953898,90.00024868,0
43.53,-2.602690174,90.00024201,0
43.531,-2.309440787,90.00022484,0
43.532,-2.415686764,90.00020958,0
43.533,-2.754071616,90.00020577,0
43.534,-3.119447143,90.00021721,0
43.535,-3.195412062,90.00023438,0
43.536,-3.070258307,90.00024678,0
43.537,-2.753213255,90.00024582,0
43.538,-2.408962939,90.00023247,0
43.539,-2.328348565,90.0002153,0
43.54,-2.61439726,90.00020672,0
43.541,-3.012938889,90.00021149,0
43.542,-3.380770281,90.0002277,0
43.543,-3.176885778,90.00024296,0
43.544,-2.89124242,90.00024773,0
43.545,-2.543177167,90.00023819,0
43.546,-2.382639878,90.00022103,0
43.547,-2.538384653,90.00020672,0
43.548,-2.864943203,90.00020672,0
43.549,-3.232440788,90.00022007,0
43.55,-3.278720734,90.00023724,0
43.551,-2.995151748,90.00024678,0
43.552,-2.647921013,90.00024296,0
43.553,-2.419740134,90.0002277,0
43.554,-2.388123849,90.00021149,0
43.555,-2.718473491,90.00020577,0
43.556,-3.08692481,90.0002153,0
43.557,-3.147343864,90.00023247,0
43.558,-3.108359984,90.00024582,0
43.559,-2.768568374,90.00024678,0
43.56,-2.410012046,90.00023342,0
43.561,-2.271982881,90.00021721,0
43.562,-2.578632232,90.00020672,0
43.563,-2.973788105,90.00021053,0
43.564,-3.300132064,90.00022579,0
43.565,-3.233752172,90.00024296,0
43.566,-2.918590745,90.00024868,0
43.567,-2.558365382,90.0002401,0
43.568,-2.404241955,90.00022293,0
43.569,-2.427155416,90.00020767,0
43.57,-2.829178175,90.00020672,0
43.571,-3.134110804,90.00021816,0
43.572,-3.204162572,90.00023628,0
43.573,-3.054712442,90.00024678,0
43.574,-2.68688105,90.00024391,0
43.575,-2.329421516,90.00022961,0
43.576,-2.374151645,90.0002134,0
43.577,-2.674124857,90.00020672,0
43.578,-3.012390492,90.0002134,0
43.579,-3.243217983,90.00022961,0
43.58,-3.152374812,90.00024487,0
43.581,-2.819712364,90.00024773,0
43.582,-2.47078875,90.00023628,0
43.583,-2.248902516,90.00021912,0
43.584,-2.570930829,90.00020672,0
43.585,-2.931251565,90.00020863,0
43.586,-3.270494778,90.00022293,0
43.587,-3.330174688,90.00024105,0
43.588,-2.966158232,90.00024868,0
43.589,-2.591054618,90.00024201,0
43.59,-2.412444068,90.00022579,0
43.591,-2.397613503,90.00020958,0
43.592,-2.754262363,90.00020577,0
43.593,-3.091574264,90.00021626,0
43.594,-3.286636727,90.00023342,0
43.595,-3.094578526,90.00024678,0
43.596,-2.741410796,90.00024582,0
43.597,-2.433616965,90.00023342,0
43.598,-2.258940568,90.00021626,0
43.599,-2.61439726,90.00020672,0
43.6,-3.012938889,90.00021149,0
43.601,-3.318706036,90.0002277,0
43.602,-3.18387188,90.00024296,0
43.603,-2.882825717,90.00024868,0
43.604,-2.566066785,90.00023915,0
43.605,-2.158202405,90.00022103,0
43.606,-2.450927238,90.00020767,0
43.607,-2.864752456,90.00020672,0
43.608,-3.223857181,90.00022007,0
43.609,-3.374380263,90.00023819,0
43.61,-3.029104682,90.00024964,0
43.611,-2.642699319,90.00024487,0
43.612,-2.435119096,90.00022865,0
43.613,-2.340365615,90.00021244,0
43.614,-2.643390776,90.00020481,0
43.615,-3.055475429,90.0002134,0
43.616,-3.268253503,90.00022961,0
43.617,-3.187615286,90.00024391,0
43.618,-2.840289177,90.00024678,0
43.619,-2.512800737,90.00023628,0
43.62,-2.401428439,90.00021912,0
43.621,-2.551975364,90.00020672,0
43.622,-2.919449106,90.00020863,0
43.623,-3.253136817,90.00022293,0
43.624,-3.248630424,90.0002401,0
43.625,-2.974765682,90.00024773,0
43.626,-2.569619445,90.00024105,0
43.627,-2.329111553,90.00022484,0
43.628,-2.445014087,90.00020958,0
43.629,-2.778034185,90.00020577,0
43.63,-3.125360294,90.00021721,0
43.631,-3.37173365,90.00023438,0
43.632,-3.059171149,90.00024678,0
43.633,-2.741410796,90.00024582,0
43.634,-2.364971954,90.00023152,0
43.635,-2.239293645,90.00021435,0
43.636,-2.607792651,90.00020481,0
43.637,-2.94999244,90.00021149,0
43.638,-3.253971335,90.0002277,0
43.639,-3.212650806,90.00024391,0
43.64,-2.88263497,90.00024868,0
43.641,-2.54191347,90.00023915,0
