sys.exec.out.time {s},rt.dcs.servo[0].tl_trq_cmd {N.m},rt.dcs.mot_pos_msr[0] {cm},rt.sdts_data.dcs_to_simhost.hold {--}
117.539,-2.366187965,90.00022103,0
117.54,-2.448066036,90.00020767,0
117.541,-2.681158645,90.00020195,0
117.542,-2.976148597,90.00020863,0
117.543,-3.250990916,90.00022293,0
117.544,-3.104187397,90.00023628,0
117.545,-2.82266894,90.0002401,0
117.546,-2.523768679,90.00023152,0
117.547,-2.27539248,90.00021626,0
117.548,-2.477274142,90.0002029,0
117.549,-2.776484367,90.00020195,0
117.55,-3.013487286,90.00021149,0
117.551,-3.254519732,90.00022675,0
117.552,-3.048203207,90.00023819,0
117.553,-2.765444895,90.00023915,0
117.554,-2.516305709,90.0002277,0
117.555,-2.381495397,90.00021244,0
117.556,-2.538098533,90.00020195,0
117.557,-2.851400179,90.0002029,0
117.558,-3.103019073,90.0002153,0
117.559,-3.158812517,90.00022961,0
117.56,-2.97986816,90.00023915,0
117.561,-2.671788208,90.00023628,0
117.562,-2.457174196,90.00022389,0
117.563,-2.405505653,90.00020863,0
117.564,-2.621431049,90.00020195,0
117.565,-2.948442622,90.00020672,0
117.566,-3.15840718,90.00022007,0
117.567,-3.129962061,90.00023438,0
117.568,-2.884733185,90.00023915,0
117.569,-2.586715128,90.00023247,0
117.57,-2.421480698,90.00021816,0
117.571,-2.463135034,90.00020481,0
117.572,-2.704930467,90.00020195,0
117.573,-3.021546339,90.00021053,0
117.574,-3.162627453,90.00022484,0
117.575,-3.092551841,90.00023724,0
117.576,-2.777247354,90.00023915,0
117.577,-2.532376129,90.00022961,0
117.578,-2.368405397,90.00021435,0
117.579,-2.554359699,90.0002029,0
117.58,-2.82743761,90.0002029,0
117.581,-3.076576796,90.00021435,0
117.582,-3.194959039,90.00022865,0
117.583,-3.051588963,90.00023915,0
117.584,-2.710938992,90.00023724,0
117.585,-2.492033177,90.00022484,0
117.586,-2.387790042,90.00020958,0
117.587,-2.594249627,90.000201,0
117.588,-2.929701747,90.00020481,0
117.589,-3.131058855,90.00021816,0
117.59,-3.125527197,90.00023247,0
117.591,-2.932300672,90.00023915,0
117.592,-2.617258462,90.00023438,0
117.593,-2.382282228,90.00022007,0
117.594,-2.438600225,90.00020672,0
117.595,-2.680967899,90.00020195,0
117.596,-3.01458408,90.00020863,0
117.597,-3.172856251,90.00022293,0
117.598,-3.034278689,90.00023628,0
117.599,-2.813012382,90.00023915,0
117.6,-2.588169572,90.00022961,0
117.601,-2.380207856,90.0002153,0
117.602,-2.536286438,90.00020386,0
117.603,-2.791672582,90.0002029,0
117.604,-3.079271094,90.0002134,0
117.605,-3.176361224,90.0002277,0
117.606,-3.012438179,90.00023819,0
117.607,-2.710938992,90.00023724,0
117.608,-2.49148478,90.00022579,0
117.609,-2.390818148,90.00021053,0
117.61,-2.573672814,90.00020195,0
117.611,-2.929511,90.00020481,0
117.612,-3.106023335,90.00021816,0
117.613,-3.136614356,90.00023247,0
117.614,-2.947488888,90.0002401,0
117.615,-2.59348664,90.00023438,0
117.616,-2.351524304,90.00022103,0
117.617,-2.467569898,90.00020672,0
117.618,-2.641817115,90.000201,0
117.619,-2.960769635,90.00020863,0
117.62,-3.198058674,90.00022293,0
117.621,-3.068613116,90.00023628,0
117.622,-2.828391344,90.0002401,0
117.623,-2.536119535,90.00023152,0
117.624,-2.375176909,90.00021626,0
117.625,-2.44937742,90.00020386,0
117.626,-2.752688702,90.00020195,0
117.627,-3.043148416,90.00021244,0
117.628,-3.173690769,90.00022675,0
117.629,-3.048203207,90.00023819,0
117.63,-2.761892235,90.00023819,0
117.631,-2.474460627,90.0002277,0
117.632,-2.42369813,90.00021244,0
117.633,-2.51752172,90.0002029,0
117.634,-2.866755298,90.00020386,0
117.635,-3.138974848,90.0002153,0
117.636,-3.138951005,90.00023056,0
117.637,-2.991861366,90.00023915,0
117.638,-2.671788208,90.00023628,0
117.639,-2.434642229,90.00022293,0
117.64,-2.403359751,90.00020863,0
117.641,-2.653810321,90.000201,0
117.642,-2.984040746,90.00020672,0
117.643,-3.172355541,90.00022007,0
117.644,-3.079366468,90.00023438,0
117.645,-2.875958832,90.0002401,0
117.646,-2.574912669,90.00023247,0
117.647,-2.346898693,90.00021816,0
117.648,-2.516067276,90.00020481,0
117.649,-2.704930467,90.00020195,0
117.65,-3.016706139,90.00021053,0
117.651,-3.211792445,90.00022579,0
117.652,-3.049633808,90.00023724,0
117.653,-2.777247354,90.00023915,0
117.654,-2.538480027,90.00022865,0
117.655,-2.371457346,90.0002134,0
117.656,-2.490173396,90.00020195,0
117.657,-2.839406973,90.0002029,0
117.658,-3.118421878,90.00021435,0
117.659,-3.162222116,90.00022865,0
117.66,-3.015633188,90.00023915,0
117.661,-2.671788208,90.00023628,0
117.662,-2.488099024,90.00022484,0
117.663,-2.411204214,90.00020958,0
117.664,-2.594082724,90.000201,0
117.665,-2.945056866,90.00020577,0
117.666,-3.099943281,90.00021816,0
117.667,-3.106023335,90.00023247,0
117.668,-2.90852885,90.00023915,0
117.669,-2.64498828,90.00023342,0
117.67,-2.393560133,90.00022007,0
117.671,-2.457221883,90.00020577,0
117.672,-2.728726133,90.00020195,0
117.673,-3.01458408,90.00020863,0
117.674,-3.213795287,90.00022389,0
117.675,-3.088283882,90.00023628,0
117.676,-2.836808048,90.00023915,0
117.677,-2.541508133,90.00022961,0
117.678,-2.343369877,90.00021435,0
117.679,-2.539505291,90.0002029,0
117.68,-2.824051854,90.00020195,0
117.681,-3.047249473,90.0002134,0
117.682,-3.201945141,90.0002277,0
